{'T1': '21.5755859375', 'T2': '21.702143892576487', 'T3': '214.88294117647058', 'P': '753.4294350124768', 'A': '2430.384585965207', 'T': '1.2247231006622314', 'H': '41.475547417410546', 'Ax': '-0.052734375', 'Ay': '-0.0048828125', 'Az': '-0.9697265625', 'Wx': '-9.404580152671755', 'Wy': '-3.786259541984733', 'Wz': '-14.412213740458014'}
{'T1': '21.6630859375', 'T2': '21.702143892576487', 'T3': '215.02411764705883', 'P': '753.4438534403823', 'A': '2430.465352163802', 'T': '1.4659020900726318', 'H': '41.475547417410546', 'Ax': '-0.0615234375', 'Ay': '-0.0029296875', 'Az': '-0.97265625', 'Wx': '-2.564885496183206', 'Wy': '-1.099236641221374', 'Wz': '-1.465648854961832'}
{'T1': '21.648046875', 'T2': '21.702143892576487', 'T3': '215.11823529411765', 'P': '753.4185215813336', 'A': '2429.9085539413254', 'T': '1.821707010269165', 'H': '41.475547417410546', 'Ax': '-0.0419921875', 'Ay': '-0.0009765625', 'Az': '-0.9599609375', 'Wx': '-2.4427480916030535', 'Wy': '-0.9770992366412213', 'Wz': '-1.3435114503816794'}
{'T1': '21.6431640625', 'T2': '21.702143892576487', 'T3': '215.11823529411765', 'P': '753.4416673630093', 'A': '2430.177462051937', 'T': '2.1925408840179443', 'H': '41.516746776531626', 'Ax': '-0.0361328125', 'Ay': '-0.00390625', 'Az': '-0.9697265625', 'Wx': '-2.4427480916030535', 'Wy': '-0.9770992366412213', 'Wz': '-1.3435114503816794'}
{'T1': '21.645703125', 'T2': '21.73418783855955', 'T3': '215.21235294117648', 'P': '753.4310674903002', 'A': '2429.7329185603926', 'T': '2.541508197784424', 'H': '41.516746776531626', 'Ax': '-0.0458984375', 'Ay': '-0.005859375', 'Az': '-0.9638671875', 'Wx': '-2.564885496183206', 'Wy': '-1.2213740458015268', 'Wz': '-1.465648854961832'}
{'T1': '21.653125', 'T2': '21.73418783855955', 'T3': '215.25941176470587', 'P': '753.4567899918634', 'A': '2430.253334585186', 'T': '2.8981380462646484', 'H': '41.516746776531626', 'Ax': '-0.044921875', 'Ay': '-0.0009765625', 'Az': '-0.966796875', 'Wx': '-2.564885496183206', 'Wy': '-1.099236641221374', 'Wz': '-1.465648854961832'}
{'T1': '21.648046875', 'T2': '21.73418783855955', 'T3': '215.25941176470587', 'P': '753.4242081604643', 'A': '2429.920949254812', 'T': '3.260996103286743', 'H': '41.48928053711757', 'Ax': '-0.060546875', 'Ay': '-0.0068359375', 'Az': '-0.9716796875', 'Wx': '-2.3206106870229006', 'Wy': '-1.099236641221374', 'Wz': '-1.5877862595419847'}
{'T1': '21.658203125', 'T2': '21.73418783855955', 'T3': '215.16529411764705', 'P': '753.4004311058918', 'A': '2430.3317474693313', 'T': '3.6095659732818604', 'H': '41.48928053711757', 'Ax': '-0.0595703125', 'Ay': '-0.0068359375', 'Az': '-0.96875', 'Wx': '-2.4427480916030535', 'Wy': '-0.8549618320610687', 'Wz': '-1.3435114503816794'}
{'T1': '21.660546875', 'T2': '21.73418783855955', 'T3': '215.21235294117648', 'P': '753.4221823556445', 'A': '2430.211293849689', 'T': '3.9656710624694824', 'H': '41.48928053711757', 'Ax': '-0.04296875', 'Ay': '-0.0078125', 'Az': '-0.9833984375', 'Wx': '-2.564885496183206', 'Wy': '-1.2213740458015268', 'Wz': '-1.465648854961832'}
{'T1': '21.658203125', 'T2': '21.73418783855955', 'T3': '215.3535294117647', 'P': '753.4507128579264', 'A': '2430.1535669090504', 'T': '4.323761940002441', 'H': '41.4526588845655', 'Ax': '-0.04296875', 'Ay': '-0.001953125', 'Az': '-0.9541015625', 'Wx': '-2.4427480916030535', 'Wy': '-1.2213740458015268', 'Wz': '-1.465648854961832'}
{'T1': '21.660546875', 'T2': '21.73418783855955', 'T3': '215.3064705882353', 'P': '753.4330134256372', 'A': '2430.0092198565376', 'T': '4.66890811920166', 'H': '41.4526588845655', 'Ax': '-0.0341796875', 'Ay': '-0.00390625', 'Az': '-0.958984375', 'Wx': '-2.4427480916030535', 'Wy': '-0.732824427480916', 'Wz': '-1.3435114503816794'}
{'T1': '21.5705078125', 'T2': '21.73418783855955', 'T3': '215.8241176470588', 'P': '753.3954522214761', 'A': '2430.312006744311', 'T': '1.212035894393921', 'H': '41.6739147020676', 'Ax': '-0.04296875', 'Ay': '-0.0048828125', 'Az': '-0.97265625', 'Wx': '-2.564885496183206', 'Wy': '-1.2213740458015268', 'Wz': '-1.465648854961832'}
{'T1': '21.645703125', 'T2': '21.73418783855955', 'T3': '215.73', 'P': '753.4305252657323', 'A': '2430.304487984366', 'T': '1.487097978591919', 'H': '41.6739147020676', 'Ax': '-0.0439453125', 'Ay': '-0.00390625', 'Az': '-0.9599609375', 'Wx': '-2.564885496183206', 'Wy': '-1.099236641221374', 'Wz': '-1.3435114503816794'}
{'T1': '21.645703125', 'T2': '21.73418783855955', 'T3': '215.77705882352942', 'P': '753.4681722391713', 'A': '2429.9721023276984', 'T': '1.811957836151123', 'H': '41.6739147020676', 'Ax': '-0.0615234375', 'Ay': '-0.0009765625', 'Az': '-0.9560546875', 'Wx': '-2.4427480916030535', 'Wy': '-1.3435114503816794', 'Wz': '-1.465648854961832'}
{'T1': '21.6505859375', 'T2': '21.73418783855955', 'T3': '215.87117647058824', 'P': '753.4502414962271', 'A': '2430.113166467046', 'T': '2.1659188270568848', 'H': '41.7242694743267', 'Ax': '-0.0322265625', 'Ay': '-0.0078125', 'Az': '-0.984375', 'Wx': '-2.564885496183206', 'Wy': '-1.2213740458015268', 'Wz': '-1.3435114503816794'}
{'T1': '21.648046875', 'T2': '21.73418783855955', 'T3': '215.77705882352942', 'P': '753.4482158221005', 'A': '2429.959706998428', 'T': '2.532909870147705', 'H': '41.7242694743267', 'Ax': '-0.0458984375', 'Ay': '-0.0078125', 'Az': '-0.9833984375', 'Wx': '-2.564885496183206', 'Wy': '-1.099236641221374', 'Wz': '-1.5877862595419847'}
